customer_id,name,gender,location,income_level,loyalty_status
C0001,Gina Wilson,Male,Nancyshire,Low,Bronze
C0002,Jeremy Bennett,Female,Carrillomouth,Low,Silver
C0003,Judy Murray,Male,South Darrenland,Low,Bronze
C0004,Richard Robinson,Female,Port Leslie,High,Gold
C0005,Kelli Smith,Female,Johnland,Medium,Gold
C0006,Paul Peterson,Female,South Lee,High,Platinum
C0007,Kenneth White,Female,South Jillian,Medium,Platinum
C0008,David Baker,Male,East Mary,Medium,Gold
C0009,Heather Maxwell,Female,North Emmafort,High,Platinum
C0010,Pamela Weaver,Male,Port Timothymouth,Medium,Bronze
C0011,William Prince PhD,Male,Whitehaven,Medium,Silver
C0012,Daniel Ray,Male,New Laurenfort,Medium,Platinum
C0013,Amanda Reed,Male,South Tiffany,Low,Platinum
C0014,Julia Norris,Female,Lake Jasonshire,Low,Bronze
C0015,Isaiah Hensley,Male,New Jose,Medium,Bronze
C0016,Tyler Cooper,Female,South Rodney,High,Platinum
C0017,Paul Diaz,Male,Ramirezburgh,Medium,Gold
C0018,Veronica Parks,Female,Lake Josephbury,Medium,Platinum
C0019,Selena Gonzalez,Female,South Linda,Medium,Silver
C0020,Jonathan Cowan,Male,Kristenport,High,Gold
C0021,Scott Williams,Male,Lake Frankborough,Medium,Platinum
C0022,Karen Soto,Female,Garnerview,Medium,Bronze
C0023,Justin Frederick,Male,Mauricechester,Medium,Silver
C0024,Sean Mccarty,Female,New Barbara,High,Silver
C0025,Carrie Deleon,Female,Markhaven,High,Silver
C0026,Dr. Steve James,Female,Stevenberg,Medium,Gold
C0027,Margaret Mcfarland,Male,Welchshire,Medium,Bronze
C0028,Terry Miller,Female,Jeremymouth,Low,Silver
C0029,Michelle Jacobs,Female,Nelsonmouth,High,Bronze
C0030,Teresa Adkins,Male,Gutierrezburgh,Medium,Gold
C0031,Beth Young,Male,Shelbyland,Medium,Gold
C0032,James Davis,Male,Kelleytown,Low,Gold
C0033,Kelly Ferrell,Male,West Christineland,Medium,Gold
C0034,Stacey Parker,Male,Lake Justin,Low,Gold
